Ac	Activities
Ac_25_70_11	Cataloguing	Ac_25_70
Ac_25_70_23	Domestic book storing and reading	Ac_25_70
Ac_25_70_30	Film storing	Ac_25_70
Ac_25_70_47	Library storing	Ac_25_70
Ac_25_70_71	Reading	Ac_25_70
Ac_25_70_72	Records storing	Ac_25_70
Ac_25_70_76	Scanning	Ac_25_70
Ac_25_90	Worship activities	Ac_25
Ac_25_90_12	Ceremonial activities	Ac_25_90
Ac_30	Industrial activities	Ac
Ac_30_10	Mineral extraction activities	Ac_30
Ac_30_10_57	Offshore oil and gas drilling	Ac_30_10
Ac_30_10_59	Onshore oil and gas drilling	Ac_30_10
Ac_30_10_60	Opencast mining	Ac_30_10
Ac_30_10_69	Quarrying	Ac_30_10
Ac_30_10_91	Underground mining	Ac_30_10
Ac_30_10_93	Underground mine access	Ac_30_10
Ac_30_10_94	Underground mine tunnelling	Ac_30_10
Ac_30_30	Mineral processing activities	Ac_30
Ac_30_30_33	Gas processing	Ac_30_30
Ac_30_30_58	Oil processing	Ac_30_30
Ac_30_30_59	Ore processing	Ac_30_30
Ac_30_40	Animal and plant products processing activities	Ac_30
Ac_30_40_06	Baking	Ac_30_40
Ac_30_40_07	Bottling	Ac_30_40
Ac_30_40_09	Brewing	Ac_30_40
Ac_30_40_10	Butter-making	Ac_30_40
Ac_30_40_11	Canning	Ac_30_40
Ac_30_40_18	Cheese making	Ac_30_40
Ac_30_40_22	Distilling	Ac_30_40
Ac_30_40_30	Fish processing	Ac_30_40
Ac_30_40_32	Fresh fruit and vegetable packing	Ac_30_40
Ac_30_40_44	Juicing	Ac_30_40
Ac_30_40_52	Meat processing	Ac_30_40
Ac_30_40_54	Milk processing	Ac_30_40
Ac_30_40_55	Milling	Ac_30_40
Ac_30_40_63	Plant fibre sorting	Ac_30_40
Ac_30_40_65	Poultry processing	Ac_30_40
Ac_30_40_75	Sawing	Ac_30_40
Ac_30_40_80	Slaughtering	Ac_30_40
Ac_30_40_87	Tanning	Ac_30_40
Ac_30_40_88	Threshing	Ac_30_40
Ac_30_40_90	Tobacco drying	Ac_30_40
Ac_30_40_96	Wine making	Ac_30_40
Ac_30_40_98	Wool sorting	Ac_30_40
